003500390032004c,元富-中壢,0,648,0,4539
0035003900320042,元富-永和,0,731,0,5364
0035003900320050,元富-同大,0,1007,0,11864
003500390032006d,元富-成功,0,1052,0,12748
003500390032006e,元富-西松,0,781,0,12114
0035003900320077,元富-佳里,0,735,0,5384
0035003900320064,元富-延平,0,559,0,5631
0035003900320062,元富-板橋,0,1124,0,16754
0035003900320079,元富-花蓮,0,691,0,13194
003500390032004e,元富-虎尾,0,763,0,8240
0035003900320048,元富-信義,0,658,0,4462
0035003900320045,元富-城中,0,817,0,10884
0035003900320072,元富-城東,0,1003,0,11297
0035003900320071,元富-屏東,0,725,0,9579
0035003900320076,元富-桃園,0,841,0,6661
0035003900320063,元富-烏日,0,713,0,6855
0035003900320058,元富-草屯,0,724,0,5041
0035003900320053,元富-基隆,0,646,0,3697
0035003900320051,元富-敦南,0,968,0,20517
0035003900320047,元富-新竹,0,656,0,5166
003500390032006f,元富-新興,0,819,0,9325
0035003900320049,元富-嘉義,0,872,0,6967
003500390032004d,元富-彰化,0,695,0,4514
0035003900320043,元富-潮州,0,739,0,4901
5960,日茂,0,723,0,5344
6010,(牛牛牛)亞證券,2,156,7,575
6012,(牛牛牛)亞-網路,0,758,0,8095
0036003000310064,(牛牛牛)亞-鑫豐,0,1435,0,31830
6114,台中銀-員林,0,576,0,2512
6160,中國信託,0,1061,0,19774
6162,中國信託-忠孝,0,974,0,12678
6164,中國信託-文心,0,1130,0,12385
6165,中國信託-新竹,0,938,0,8738
6167,中國信託-松江,0,583,0,3731
6168,中國信託-嘉義,0,654,0,4310
003600310036004b,中國信託-高雄,0,1046,0,12847
6210,新百王,0,968,0,27332
6381,光和-溪湖,0,518,0,2845
6382,光和-田中,0,501,0,2979
0036003300380044,光和-高雄,0,798,0,5051
6450,永全,0,703,0,4137
6460,大昌,0,1084,0,15762
6461,大昌-樹林,0,972,0,13442
6464,大昌-新店,0,1223,0,19785
6465,大昌-桃園,0,737,0,8353
6480,福邦證券,0,384,0,3105
6910,德信,0,708,0,4524
6913,德信-新營,0,578,0,4320
6914,德信-三重,4,429,28,2342
6915,德信-和平,1,516,3,2490
6950,福勝,0,806,0,6182
7070,豐農,0,712,0,7136
7791,國票-台東,0,520,0,8851
0037003700390058,國票-中和,0,883,0,8835
003700370039006d,國票-中港,0,623,0,3357
0037003700390056,國票-天祥,0,821,0,5661
0037003700390076,國票-台中,0,884,0,13138
0037003700390044,國票-台南,0,748,0,5553
003700370039006a,國票-和平,0,794,0,5879
0037003700390075,國票-長城,0,880,0,19398
003700370039006e,國票-南京,0,746,0,6790
0037003700390065,國票-南科,0,796,0,7184
0037003700390045,國票-南崁,0,558,0,6197
0037003700390063,國票-敦北法人,0,911,0,16725
0037003700390048,國票-嘉義,0,715,0,9422
0037003700390057,國票-彰化,0,541,0,14418
8150,台新證券,0,1627,0,96106
8151,台新-建北,0,792,0,8764
8152,台新-新莊,0,775,0,7205
8156,台新-三民,0,1045,0,12052
0038003100350042,台新-台中,0,1297,0,25364
0038003100350041,台新-高雄,0,1413,0,33300
0038003100350059,台新-新營,0,861,0,9029
8380,安泰,0,1015,0,9259
8382,安泰-楠梓,1,310,1,1147
8440,摩根大通,0,1634,0,662122
8456,康和-新竹,0,452,0,3227
8458,康和-台南,0,655,0,3749
8459,康和-嘉義,0,822,0,12255
0038003400350046,康和-仁愛,0,601,0,5077
0038003400350041,康和-內湖,0,834,0,32071
