1020,合庫證券,0,986,0,19186
0031003000320046,合庫-西台中,0,742,0,7684
1030,土銀,0,670,0,5688
1039,土銀-士林,1,273,2,1373
1040,臺銀,0,1222,0,22366
1113,台灣企銀-九如,0,311,0,1790
1116,台灣企銀-屏東,0,286,0,964
0031003100310044,臺灣企銀-台北(停),0,354,0,1550
1162,日盛-台南,0,839,0,11305
0031003100360073,日盛-土城,0,636,0,4490
0031003100360064,日盛-三峽,0,741,0,5541
0031003100360066,日盛-復興,0,843,0,10438
003100310036006a,日盛-頭份,0,1056,0,12096
1230,彰銀,0,514,0,2988
1232,彰銀-七賢,0,388,0,1253
1233,彰銀-台中,0,648,0,5589
1260,宏遠證券,0,975,0,37024
0031003200360055,宏遠-館前,0,919,0,9132
1480,美商高盛,0,1833,0,290079
1520,瑞士信貸,0,1867,0,851811
1560,港商野村,0,314,0,29466
1570,港商法國興業,0,219,0,16963
5262,大慶-楊梅,0,899,0,8495
5266,大慶-中壢,0,655,0,4431
5320,高橋,0,1152,0,14235
5380,第一金,0,712,0,8842
5385,第一金-桃園,0,957,0,11565
5386,第一金-彰化,0,601,0,4505
003500330038006a,第一金-安和,0,606,0,3535
0035003300380045,第一金-自由,0,814,0,6984
0035003300380044,第一金-忠孝,0,797,0,8782
003500330038004d,第一金-嘉義,0,682,0,9320
5851,統一-高雄,0,944,0,19398
5855,統一-台南,0,748,0,7226
0035003800350052,統一-汐止,0,783,0,9124
0035003900320044,元富-大昌,0,1112,0,12537
003500390032007a,元富-文心,0,892,0,13862
0035003900320053,元富-基隆,0,660,0,4395
0035003900320041,元富-緯城,0,1088,0,16065
5960,日茂,0,719,0,5231
6167,中國信託-松江,0,611,0,3925
6381,光和-溪湖,0,614,0,4945
6385,光和-花壇,1,426,1,2175
7792,國票-北投,0,708,0,5760
0037003700390045,國票-南崁,0,604,0,7857
8440,摩根大通,0,1555,0,354212
8455,康和-台中,0,928,0,13726
0038003400350041,康和-內湖,0,950,0,38097
0038003400350053,康和-南崁,0,590,0,5491
8490,萬泰,0,496,0,3202
8710,陽信,0,712,0,7138
8847,玉山-台南,0,1104,0,22203
8900,法銀巴黎,0,103,0,3720
9100,群益金鼎,0,1136,0,31219
9184,群益金鼎-台中,0,913,0,7868
0039003100380041,群益金鼎-中壢,0,958,0,8767
9216,凱基-信義,0,810,0,12889
9231,凱基-員林,0,483,0,12119
9239,凱基-市政,0,969,0,28210
9252,凱基-嘉義,0,806,0,12635
9254,凱基-科園,0,757,0,7411
9268,凱基-台北,0,1501,0,226238
9275,凱基-三多,0,655,0,5651
003900320030004d,凱基-宜蘭,0,744,0,9456
0039003200300046,凱基-站前,0,1155,0,12932
0039003200300048,凱基-基隆,0,905,0,13774
0039003200300056,凱基-新店,0,614,0,4298
9600,富邦證券,0,630,0,40875
9623,富邦-台北,0,1453,0,60026
9634,富邦-羅東,0,1118,0,15955
9651,富邦-民生,0,1164,0,22121
9655,富邦-板橋,0,1316,0,26127
003900360035004b,富邦-台中,0,1155,0,17862
0039003600390043,富邦-北港,0,810,0,14952
9800,元大證券,0,1232,0,198536
9831,元大-四維,0,1149,0,17225
9854,元大-文心興安,0,1010,0,10332
9859,元大-新竹經國,0,1210,0,16558
9873,元大-西門,0,760,0,6001
003900380031007a,元大-大統,0,865,0,7420
0039003800320043,元大-六合,0,1029,0,15171
0039003800310049,元大-天母,0,920,0,8665
0039003800390044,元大-左營,0,1012,0,10789
003900380039004c,元大-成功,0,1019,0,14188
0039003800320046,元大-忠孝鼎富,0,435,0,4318
0039003800330042,元大-林森,0,800,0,8448
0039003800390043,元大-板橋,0,1018,0,9280
0039003800300052,元大-南海,0,698,0,4382
0039003800310072,元大-屏南,0,844,0,6610
0039003800390045,元大-草屯,0,1090,0,14272
003900380036004b,元大-基隆孝二,0,919,0,8819
003900380031004c,元大-莒光,0,845,0,7399
0039003800310055,元大-華山,0,605,0,5759
0039003800300044,元大-開元,0,1093,0,10337
0039003800370044,元大-新壢(停),0,811,0,5539
0039003800310071,元大-萬華,0,934,0,8095
003900380033005a,元大-鳳山,0,865,0,6485
003900380034004b,元大-館前,0,1023,0,12798
1022,合庫-台南,0,805,0,11730
1023,合庫-高雄,0,979,0,12567
1024,合庫-嘉義,0,633,0,4508
1025,合庫-基隆,0,679,0,5572
0031003000320043,合庫-自強,0,1019,0,9972
0031003000320045,合庫-桃園,0,887,0,12421
